Date	Logbook\Gamification

2015-10-18	0	0

2015-10-19	1	2

2015-10-20	3	2

2015-10-21	4	3

2015-10-22	5	4

2015-10-23	3	6

2015-10-24	3	3

2015-10-25	4	3

2015-10-26	2	5

2015-10-27	3	3

2015-10-28	3	2

2015-10-29	2	4

2015-10-30	3	1

2015-10-31	2	2

2015-11-01	1	2

2015-11-02	2	3

2015-11-03	1	1

2015-11-04	3	2

2015-11-05	2	2

2015-11-06	1	1

2015-11-07	1	1

2015-11-08	0	2

2015-11-09	2	0

2015-11-10	3	1

2015-11-11	1	1

2015-11-12	2	3

2015-11-13	1	1

2015-11-14	0	2

2015-11-15	0	2

2015-11-16	0	2

2015-11-17	2	3

2015-11-18	1	2

2015-11-19	1	1

2015-11-20	0	1

2015-11-21	0	3

2015-11-22	0	2

2015-11-23	0	1

2015-11-24	0	2

2015-11-25	0	2

2015-11-26	0	1

